ngram,count,percentage
su,18318104818,0.2746002790497797
id,17905542743,0.2684157058067532
do,17706639517,0.26543401736757416
oo,17541371381,0.26295654075552627
ir,17041448765,0.2554623763088854
sp,17010851034,0.25500369646430704
pl,17001616925,0.2548652711777739
sc,16886526539,0.2531399916018818
ay,16749015766,0.25107861587478986
wa,16616645822,0.24909430451063136
ig,16254923119,0.2436718464469109
ei,16135583953,0.24188287490150484
ry,16071337298,0.24091977584915752
ly,16052501931,0.24063742147431397
tu,15817162046,0.23710952387057052
ul,15752059735,0.2361335979794915
iv,15535972775,0.23289431421599258
im,15472128922,0.2319372534270301
ab,15386005538,0.23064620800971855
ty,15214168398,0.22807025776465012
ci,15114311349,0.2265733357963064
ap,15049927877,0.22560818576833944
ev,14977965012,0.22452941572053386
eo,14770877724,0.22142504288079648
ef,14743755990,0.22101847048705214
od,14558819018,0.2182461452589576
fr,14439772192,0.21646155607987025
rd,14380342944,0.21557067308478647
bo,14280375980,0.21407210341926167
rc,14278737404,0.21404754010164148
mp,14257278755,0.21372586102719696
ga,14191497542,0.21273975795455363
bl,14155655885,0.2122024682561054
ke,14119208748,0.21165610201952118
ds,14113090545,0.2115643861860452
ck,13780629739,0.20658058294833218
oc,13671886937,0.2049504577759665
ba,13622702607,0.2042131527503066
ls,13556674443,0.20322334772191042
rm,13536350081,0.20291867234570968
fe,13440050156,0.2014750739745786
ex,13356752941,0.20022639466466477
ft,13171357353,0.19744719448510406
av,12702579090,0.19041990410156065
eb,12666048968,0.189872293865972
ld,12631807015,0.18935898476863736
wh,12042164275,0.18051985743792284
gh,12038664661,0.1804673959529322
gr,12028253431,0.1803113248586975
gi,12005990636,0.17997759111384956
wo,11770868120,0.17645295201248126
ov,11763317241,0.1763397594360072
cl,11632840915,0.17438383463456247
rn,11557521313,0.17325474492071857
bu,11550713430,0.1731526903364637
eg,11512774220,0.17258395695730477
fa,11428633961,0.17132263987072405
go,11021593048,0.16522083242912425
dt,10976756096,0.16454869742098505
lt,10910014701,0.16354820059703615
uc,10702575520,0.16043855265286217
if,10654256107,0.159714213294334
ys,10570642040,0.158460784167314
ht,10529516272,0.15784428221576713
du,10242237496,0.15353778692935727
va,10061548421,0.15082914043403364
um,10007053570,0.15001222725223592
cr,9927779823,0.14882386233873618
pp,9875069347,0.14803369809618727
by,9859174066,0.1477954175184997
pi,9629601171,0.14435397083743692
cu,9565348552,0.14339078238085917
og,9537105190,0.14296739605549635
up,9388602522,0.14074124468898785
ff,8927389303,0.13382735922446112
nf,8729196286,0.13085631727909355
bi,8714189475,0.13063135544329282
ki,8615590792,0.1291532971979259
au,8610622447,0.12907881848208871
lu,8610377071,0.12907514013660804
ob,8520934320,0.12773433525381003
ru,8479995978,0.1271206429396363
ue,8457625777,0.12678529910914552
rr,8457557665,0.12678427806606313
ey,8418908993,0.1262049093911075
ip,8282654910,0.1241623722626647
